Date,sample ID,subset,blade ID,length (cm),width (cm),AV sml_l (cm),AV sml_w (cm),AV lrg_l (cm),AV lrg_w (cm),AV all_l (cm),AV all_w (cm),SD sml_l (cm),SD sml_w (cm),SD lrg_l (cm),SD lrg_w (cm),SD all_l (cm),SD all_w (cm),# sml blades,# lrg blades,# all blades
25/03/25,1-SW-3,small,5,8.00,1.98,,,,,,,,,,,,,,,
25/03/25,1-SW-3,small,6,18.30,3.27,,,,,,,,,,,,,,,
25/03/25,1-SW-3,small,7,13.63,2.63,,,,,,,,,,,,,,,
25/03/25,1-SW-3,small,8,14.17,3.11,,,,,,,,,,,,,,,
25/03/25,1-SW-3,small,9,13.72,3.64,,,,,,,,,,,,,,,
25/03/25,1-SW-3,small,10,15.60,3.37,,,,,,,,,,,,,,,
25/03/25,1-SW-3,small,11,14.71,2.14,,,,,,,,,,,,,,,
25/03/25,1-SW-3,large,1,51.62,5.59,,,,,,,,,,,,,,,
25/03/25,1-SW-3,large,2,35.82,5.96,,,,,,,,,,,,,,,
25/03/25,1-SW-3,large,3,36.07,5.95,,,,,,,,,,,,,,,
25/03/25,1-SW-3,large,4,57.00,7.39,,,,,,,,,,,,,,,
25/03/25,1-SW-3,large,5,23.71,3.75,,,,,,,,,,,,,,,
25/03/25,1-SW-3,large,6,42.34,5.27,,,,,,,,,,,,,,,
25/03/25,1-SW-3,large,7,40.61,3.46,,,,,,,,,,,,,,,
25/03/25,1-SW-3,large,8,47.11,5.11,,,,,,,,,,,,,,,
25/03/25,1-SW-3,large,9,56.50,7.99,,,,,,,,,,,,,,,
25/03/25,1-SW-3,large,10,23.45,3.97,,,,,,,,,,,,,,,
25/03/25,1-SW-3,large,11,51.52,4.01,,,,,,,,,,,,,,,
25/03/25,1-SW-3,large,12,58.18,9.60,,,,,,,,,,,,,,,
25/03/25,1-SW-3,large,13,27.47,3.18,,,,,,,,,,,,,,,
25/03/25,1-SW-3,large,14,34.24,4.74,,,,,,,,,,,,,,,
25/03/25,1-SW-3,large,15,23.41,3.73,,,,,,,,,,,,,,,
25/03/25,1-SW-3,large,16,60.63,4.92,,,,,,,,,,,,,,,
25/03/25,1-SW-3,large,17,35.53,6.20,,,,,,,,,,,,,,,
25/03/25,1-SW-3,large,18,19.31,2.06,,,,,,,,,,,,,,,
25/03/25,1-SW-3,large,19,29.28,2.86,,,,,,,,,,,,,,,
25/03/25,1-SW-3,large,20,41.03,7.44,,,,,,,,,,,,,,,
25/03/25,1-SW-3,large,21,18.34,3.04,,,,,,,,,,,,,,,
25/03/25,1-SW-3,large,21,45.87,3.96,,,,,,,,,,,,,,,
24/03/25,4-NE-5,,,,,12.3,3.3,61.3,6.2,42.0,5.0,4.0,0.9,25.9,2.4,31.0,2.4,13,19,32
25/03/25,4-NE-5,small,1,9.30,1.98,,,,,,,,,,,,,,,
25/03/25,4-NE-5,small,2,10.91,3.10,,,,,,,,,,,,,,,
25/03/25,4-NE-5,small,3,10.54,2.36,,,,,,,,,,,,,,,
25/03/25,4-NE-5,small,4,7.02,2.11,,,,,,,,,,,,,,,
25/03/25,4-NE-5,small,5,11.07,3.97,,,,,,,,,,,,,,,
25/03/25,4-NE-5,small,6,12.17,4.09,,,,,,,,,,,,,,,
25/03/25,4-NE-5,small,7,12.11,3.99,,,,,,,,,,,,,,,
25/03/25,4-NE-5,small,8,18.10,3.84,,,,,,,,,,,,,,,
25/03/25,4-NE-5,small,9,19.34,3.97,,,,,,,,,,,,,,,
25/03/25,4-NE-5,small,10,23.53,3.89,,,,,,,,,,,,,,,
25/03/25,4-NE-5,small,11,8.54,2.36,,,,,,,,,,,,,,,
25/03/25,4-NE-5,small,12,19.99,3.47,,,,,,,,,,,,,,,
25/03/25,4-NE-5,small,13,18.09,3.04,,,,,,,,,,,,,,,
25/03/25,4-NE-5,large,1,125.57,10.66,,,,,,,,,,,,,,,
25/03/25,4-NE-5,large,2,105.37,8.06,,,,,,,,,,,,,,,
25/03/25,4-NE-5,large,3,59.50,5.21,,,,,,,,,,,,,,,
25/03/25,4-NE-5,large,4,48.60,5.70,,,,,,,,,,,,,,,
25/03/25,4-NE-5,large,5,34.43,3.35,,,,,,,,,,,,,,,
25/03/25,4-NE-5,large,6,33.22,5.45,,,,,,,,,,,,,,,
25/03/25,4-NE-5,large,7,30.12,3.72,,,,,,,,,,,,,,,
25/03/25,4-NE-5,large,8,75.62,7.07,,,,,,,,,,,,,,,
25/03/25,4-NE-5,large,9,69.17,9.30,,,,,,,,,,,,,,,
25/03/25,4-NE-5,large,10,56.40,8.80,,,,,,,,,,,,,,,
25/03/25,4-NE-5,large,11,32.85,4.21,,,,,,,,,,,,,,,
25/03/25,4-NE-5,large,12,49.21,6.69,,,,,,,,,,,,,,,
25/03/25,4-NE-5,large,13,43.64,5.33,,,,,,,,,,,,,,,
25/03/25,4-NE-5,large,14,77.85,7.69,,,,,,,,,,,,,,,
25/03/25,4-NE-5,large,15,66.20,7.31,,,,,,,,,,,,,,,
25/03/25,4-NE-5,large,16,63.22,6.82,,,,,,,,,,,,,,,
25/03/25,4-NE-5,large,17,52.19,7.31,,,,,,,,,,,,,,,
25/03/25,4-NE-5,large,18,45.99,4.71,,,,,,,,,,,,,,,
25/03/25,4-NE-5,large,19,95.37,0.25,,,,,,,,,,,,,,,
25/03/25,4-SW-1,,,,,8.3,1.9,58.0,4.4,37.4,3.3,2.3,0.6,15.5,1.5,27.6,1.7,12,17,29
25/03/25,4-SW-1,small,1,9.55,0.99,,,,,,,,,,,,,,,
25/03/25,4-SW-1,small,2,9.05,0.74,,,,,,,,,,,,,,,
25/03/25,4-SW-1,small,3,9.17,1.62,,,,,,,,,,,,,,,
25/03/25,4-SW-1,small,4,8.22,2.44,,,,,,,,,,,,,,,
25/03/25,4-SW-1,small,5,6.20,1.98,,,,,,,,,,,,,,,
25/03/25,4-SW-1,small,6,5.45,1.36,,,,,,,,,,,,,,,
25/03/25,4-SW-1,small,7,8.80,1.98,,,,,,,,,,,,,,,
25/03/25,4-SW-1,small,8,7.55,2.08,,,,,,,,,,,,,,,
25/03/25,4-SW-1,small,9,6.89,2.32,,,,,,,,,,,,,,,
25/03/25,4-SW-1,small,10,6.65,2.47,,,,,,,,,,,,,,,
25/03/25,4-SW-1,small,11,14.43,2.48,,,,,,,,,,,,,,,
25/03/25,4-SW-1,small,12,7.69,1.74,,,,,,,,,,,,,,,
25/03/25,4-SW-1,large,1,30.58,2.61,,,,,,,,,,,,,,,
25/03/25,4-SW-1,large,2,36.36,2.74,,,,,,,,,,,,,,,
25/03/25,4-SW-1,large,3,51.74,3.72,,,,,,,,,,,,,,,
25/03/25,4-SW-1,large,4,56.50,3.71,,,,,,,,,,,,,,,
25/03/25,4-SW-1,large,5,59.92,4.59,,,,,,,,,,,,,,,
25/03/25,4-SW-1,large,6,57.77,3.72,,,,,,,,,,,,,,,
25/03/25,4-SW-1,large,7,57.02,3.97,,,,,,,,,,,,,,,
25/03/25,4-SW-1,large,8,67.91,3.84,,,,,,,,,,,,,,,
25/03/25,4-SW-1,large,9,80.81,6.56,,,,,,,,,,,,,,,
25/03/25,4-SW-1,large,10,78.81,6.16,,,,,,,,,,,,,,,
25/03/25,4-SW-1,large,11,64.60,7.75,,,,,,,,,,,,,,,
25/03/25,4-SW-1,large,12,45.03,6.50,,,,,,,,,,,,,,,
25/03/25,4-SW-1,large,13,33.84,3.10,,,,,,,,,,,,,,,
25/03/25,4-SW-1,large,14,72.31,4.34,,,,,,,,,,,,,,,
25/03/25,4-SW-1,large,15,54.79,3.60,,,,,,,,,,,,,,,
25/03/25,4-SW-1,large,16,81.12,3.60,,,,,,,,,,,,,,,
25/03/25,4-SW-1,large,17,57.02,3.97,,,,,,,,,,,,,,,
25/03/25,4-SW-3,,,,,15.5,2.2,53.2,5.5,41.5,4.5,6.8,0.5,16.1,1.5,22.5,2.0,9,20,29
25/03/25,4-SW-3,small,1,15.12,2.23,,,,,,,,,,,,,,,
25/03/25,4-SW-3,small,2,18.48,2.38,,,,,,,,,,,,,,,
25/03/25,4-SW-3,small,3,16.89,1.90,,,,,,,,,,,,,,,
25/03/25,4-SW-3,small,4,17.94,2.54,,,,,,,,,,,,,,,
25/03/25,4-SW-3,small,5,6.04,1.26,,,,,,,,,,,,,,,
25/03/25,4-SW-3,small,6,3.72,1.86,,,,,,,,,,,,,,,
25/03/25,4-SW-3,small,7,14.97,2.84,,,,,,,,,,,,,,,
25/03/25,4-SW-3,small,8,24.96,2.60,,,,,,,,,,,,,,,
25/03/25,4-SW-3,small,9,21.69,2.60,,,,,,,,,,,,,,,
25/03/25,4-SW-3,large,1,30.01,3.57,,,,,,,,,,,,,,,
25/03/25,4-SW-3,large,2,72.43,5.48,,,,,,,,,,,,,,,
25/03/25,4-SW-3,large,3,67.54,6.74,,,,,,,,,,,,,,,
25/03/25,4-SW-3,large,4,51.94,5.08,,,,,,,,,,,,,,,
25/03/25,4-SW-3,large,5,72.58,6.62,,,,,,,,,,,,,,,
25/03/25,4-SW-3,large,6,43.75,4.52,,,,,,,,,,,,,,,
25/03/25,4-SW-3,large,7,51.55,4.49,,,,,,,,,,,,,,,
25/03/25,4-SW-3,large,8,67.04,4.89,,,,,,,,,,,,,,,
25/03/25,4-SW-3,large,9,58.88,7.56,,,,,,,,,,,,,,,
25/03/25,4-SW-3,large,10,43.93,3.90,,,,,,,,,,,,,,,
25/03/25,4-SW-3,large,11,71.67,5.91,,,,,,,,,,,,,,,
25/03/25,4-SW-3,large,12,72.86,7.01,,,,,,,,,,,,,,,
25/03/25,4-SW-3,large,13,34.14,3.97,,,,,,,,,,,,,,,
25/03/25,4-SW-3,large,14,58.16,8.21,,,,,,,,,,,,,,,
25/03/25,4-SW-3,large,15,49.06,7.18,,,,,,,,,,,,,,,
25/03/25,4-SW-3,large,16,35.12,3.83,,,,,,,,,,,,,,,
25/03/25,4-SW-3,large,17,30.63,4.09,,,,,,,,,,,,,,,
25/03/25,4-SW-3,large,18,59.46,7.21,,,,,,,,,,,,,,,
25/03/25,4-SW-3,large,19,68.78,5.66,,,,,,,,,,,,,,,
25/03/25,4-SW-3,large,20,25.24,3.25,,,,,,,,,,,,,,,
